Review
"Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE"
They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE
Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE
"Quite O. K. , but nowadays  the quality of the corks like not as before 3 to 5 years back.. I am using MAVIS 350 for more than 15 years quality of corks was very very good at that times, but now I am not getting the quality corks as like before, rate of corks also too much now, I am  very sorry to say like this, but in my experience , my Statment is very true to   my knowledgeREAD MORE"
Over pricedJust â?¹620 ..from retailer.I didn't understand.. Wat is d advantage of buying dis frm flipkrtREAD MORE
Good quality product. Delivered on time.READ MORE
BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE
Good quality original shuttles.READ MORE
AwesomeREAD MORE
nice original productsREAD MORE
This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE
Best in class....READ MORE
it's genuine and price is less than our near by shopREAD MORE
"This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE"
really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE
NycREAD MORE
I usually buy them the same model but this did not last even for a dayREAD MORE
"Poor quality, not originalREAD MORE"
Delivered on expected timeREAD MORE
nice and original productREAD MORE
Very nice and Good price compare then local sports.READ MORE
It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE
superbREAD MORE
"Looked like defective once, without balance, had to throw 4 out of 6.READ MORE"
Genuine product at very reasonable price....got for Rs 630/-READ MORE
Good sealed Original Yonex ShuttlesREAD MORE
They are not as expected...the head  portion break very soon...defective pieces..READ MORE
I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE
quality is pooverREAD MORE
good productREAD MORE
Good product.....READ MORE
Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE
"After using, found shuttles quality are not upto the level. This box has not 3d quality sticker.READ MORE"
Local productREAD MORE
